embryo_cut_rate,germline_cut_rate,Dwt_female_fitness,threshold,capacity
0.05,0.9,1.0,0.08,100000
0.1,0.9,1.0,0.13,100000
0.15,0.9,1.0,0.17,100000
0.2,0.9,1.0,0.21,100000
0.25,0.9,1.0,0.25,100000
0.3,0.9,1.0,0.29,100000
0.35,0.9,1.0,0.33,100000
0.4,0.9,1.0,0.36,100000
0.45,0.9,1.0,0.39,100000
0.5,0.9,1.0,0.41,100000
0.55,0.9,1.0,0.45,100000
0.6,0.9,1.0,0.47,100000
0.65,0.9,1.0,0.5,100000
0.7,0.9,1.0,0.5,100000
0.75,0.9,1.0,0.53,100000
0.8,0.9,1.0,0.55,100000
0.85,0.9,1.0,0.57,100000
0.9,0.9,1.0,0.59,100000
0.95,0.9,1.0,0.59,100000
1.0,0.9,1.0,0.62,100000
0.0,0.95,1.0,0.03,100000
0.05,0.95,1.0,0.07,100000
0.1,0.95,1.0,0.11,100000
0.15,0.95,1.0,0.15,100000
0.2,0.95,1.0,0.19,100000
0.25,0.95,1.0,0.24,100000
0.3,0.95,1.0,0.27,100000
0.35,0.95,1.0,0.31,100000
0.4,0.95,1.0,0.33,100000
0.45,0.95,1.0,0.37,100000
0.5,0.95,1.0,0.39,100000
0.55,0.95,1.0,0.43,100000
0.6,0.95,1.0,0.45,100000
0.65,0.95,1.0,0.47,100000
0.7,0.95,1.0,0.49,100000
0.75,0.95,1.0,0.51,100000
0.8,0.95,1.0,0.52,100000
0.85,0.95,1.0,0.54,100000
0.9,0.95,1.0,0.57,100000
0.95,0.95,1.0,0.57,100000
1.0,0.95,1.0,0.61,100000
0.0,1.0,1.0,0.03,100000
0.05,1.0,1.0,0.07,100000
0.1,1.0,1.0,0.1,100000
0.15,1.0,1.0,0.15,100000
0.2,1.0,1.0,0.19,100000
0.25,1.0,1.0,0.23,100000
0.3,1.0,1.0,0.25,100000
0.35,1.0,1.0,0.29,100000
0.4,1.0,1.0,0.32,100000
0.45,1.0,1.0,0.35,100000
0.5,1.0,1.0,0.38,100000
0.55,1.0,1.0,0.4,100000
0.6,1.0,1.0,0.43,100000
0.65,1.0,1.0,0.46,100000
0.7,1.0,1.0,0.48,100000
0.75,1.0,1.0,0.49,100000
0.8,1.0,1.0,0.51,100000
0.85,1.0,1.0,0.52,100000
0.9,1.0,1.0,0.56,100000
0.95,1.0,1.0,0.57,100000
1.0,1.0,1.0,0.58,100000
