original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
0,58,0.57,0.938467,0.59,0.801639,0.67,0.126808,0.69,0.0751945,0.575623,0.680388,0.104765,,
0,59,0.57,0.958392,0.59,0.859195,0.67,0.146064,0.69,0.0855869,0.581773,0.685234,0.103461,,
0,60,0.57,0.968484,0.59,0.892623,0.67,0.163036,0.69,0.0951804,0.588055,0.688579,0.100524,,
0,61,0.59,0.925425,0.61,0.802935,0.69,0.127009,0.71,0.0636872,0.594151,0.698531,0.10438,,
0,62,0.59,0.956537,0.61,0.84219,0.69,0.140206,0.71,0.0743263,0.599889,0.702206,0.102317,,
0,63,0.59,0.964836,0.61,0.879551,0.69,0.161793,0.71,0.0965274,0.605205,0.708936,0.103731,,
0,64,0.61,0.924081,0.63,0.770413,0.71,0.106747,0.73,0.0573861,0.613134,0.712734,0.0996,,
0,65,0.61,0.945898,0.63,0.828927,0.71,0.133058,0.73,0.0814749,0.617848,0.722817,0.104969,,
0,66,0.61,0.965726,0.63,0.884497,0.71,0.162813,0.73,0.0872738,0.626183,0.726631,0.100448,,
0,67,0.63,0.92293,0.65,0.757777,0.73,0.110567,0.75,0.056897,0.632777,0.733938,0.101161,,
0,68,0.63,0.940765,0.65,0.825048,0.73,0.123369,0.75,0.0623253,0.637046,0.737656,0.10061,,
0,69,0.63,0.96147,0.65,0.876381,0.73,0.149054,0.75,0.0755849,0.644448,0.743354,0.098906,,
0,70,0.65,0.90656,0.67,0.756047,0.75,0.105263,0.77,0.0531766,0.650872,0.752021,0.101149,,
0,71,0.65,0.931086,0.67,0.798564,0.75,0.11172,0.77,0.0643059,0.654691,0.754944,0.100253,,
0,72,0.65,0.957103,0.67,0.855222,0.75,0.140867,0.77,0.0776034,0.66121,0.76292,0.10171,,
0,73,0.65,0.968275,0.67,0.889749,0.75,0.165786,0.77,0.0985075,0.667389,0.769556,0.102167,,
