original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
1,32,0.61,0.900232,0.63,0.83597,0.81,0.109581,0.83,0.0730088,0.610072,0.815239,0.205167,,
1,33,0.61,0.924673,0.63,0.874795,0.81,0.13952,0.83,0.0957811,0.619893,0.828071,0.208178,,
1,34,0.63,0.908467,0.65,0.859907,0.83,0.115789,0.85,0.087396,0.633487,0.841122,0.207635,,
1,35,0.65,0.904196,0.67,0.805353,0.85,0.113365,0.87,0.0771412,0.650849,0.857379,0.20653,,
1,36,0.65,0.939394,0.67,0.891179,0.85,0.11988,0.87,0.0938628,0.666341,0.865282,0.198941,,
1,37,0.67,0.930214,0.69,0.873874,0.87,0.106221,0.89,0.0796813,0.680726,0.874688,0.193962,,
1,38,0.69,0.911741,0.71,0.822775,0.87,0.128435,0.89,0.0939636,0.692639,0.886498,0.193859,,
1,39,0.69,0.936662,0.71,0.860729,0.89,0.119952,0.91,0.0822956,0.699656,0.900597,0.200941,,
original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
1,0,0.21,0.908756,0.23,0.843072,0.41,0.107165,0.43,0.090699,0.212666,0.418703,0.206037,,
1,1,0.21,0.932084,0.23,0.875801,0.41,0.124227,0.43,0.0920139,0.221401,0.425042,0.203641,,
1,2,0.23,0.940895,0.25,0.880609,0.43,0.116948,0.45,0.0886999,0.243567,0.441999,0.198432,,
1,3,0.25,0.910628,0.27,0.84955,0.45,0.113636,0.47,0.0816676,0.25348,0.458531,0.205051,,
1,4,0.27,0.902801,0.29,0.830264,0.45,0.135021,0.47,0.097503,0.270772,0.468669,0.197897,,
1,5,0.27,0.924471,0.29,0.881517,0.47,0.130593,0.49,0.0970696,0.281394,0.488252,0.206858,,
1,6,0.29,0.906299,0.31,0.833724,0.49,0.123952,0.51,0.0911782,0.291736,0.504617,0.212881,,
1,7,0.29,0.933384,0.31,0.893385,0.51,0.10991,0.53,0.0775325,0.306692,0.516122,0.20943,,
1,8,0.31,0.925442,0.33,0.852217,0.51,0.124146,0.53,0.0862697,0.316949,0.52275,0.205801,,
1,9,0.31,0.953348,0.33,0.892857,0.53,0.105897,0.55,0.081004,0.327638,0.534738,0.2071,,
1,10,0.33,0.925735,0.35,0.875509,0.55,0.106098,0.57,0.0755849,0.340248,0.553997,0.213749,,
1,11,0.35,0.918367,0.37,0.875648,0.55,0.118943,0.57,0.083125,0.358599,0.560577,0.201978,,
1,12,0.37,0.913469,0.39,0.824849,0.55,0.13245,0.57,0.0975904,0.37304,0.568618,0.195578,,
1,13,0.37,0.941038,0.39,0.874376,0.57,0.112516,0.59,0.0970275,0.382312,0.586162,0.20385,,
1,14,0.39,0.922118,0.41,0.863745,0.59,0.119928,0.61,0.0685096,0.397578,0.597751,0.200173,,
