radius,fraction,migration,growth,germline,embryo,conversion,fitness,dominantR2,recessiveR2invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending_pop_size,ending_fertile_female,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.44117,0.664057,0.170389,4343,1303,13,9697,987,1939
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.673304,0.880408,0.194813,8136,986,13,10626,987,2208
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.585931,0.811171,0.231134,9077,1515,15,9798,985,2010
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.6199,0.856339,0.196342,6397,1081,14,10546,986,2321
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.577936,0.811078,0.218527,12042,2225,14,10916,986,2622
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.601936,0.819645,0.200886,5528,942,14,10202,986,2133
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.557313,0.803447,0.237445,14098,2595,16,10309,984,2116
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.53688,0.773151,0.217268,9341,1933,16,11253,984,2572
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.580951,0.809137,0.240232,8011,1259,14,10823,986,2316
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.543746,0.782242,0.22275,12321,2549,15,11256,985,2650
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.496471,0.707456,0.218497,8785,1988,16,10557,984,2199
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.569139,0.814227,0.232111,9517,1679,14,9855,986,2053
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.431777,0.644165,0.250485,13925,3638,15,11100,985,2502
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.654802,0.87751,0.207198,5029,642,16,10754,984,2255
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.666594,0.885375,0.207547,9169,1110,13,11633,987,2629
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.619863,0.824058,0.244863,2336,277,16,10017,984,2025
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.404633,0.612827,0.242001,7188,2031,14,11501,986,2749
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.478394,0.69149,0.261844,11293,2478,15,10166,985,2143
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,1,0,0,993,0,0,0,0,0,15,10146,978,2130
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,F,T,0,0,0,0,1,1000,0.550951,0.795227,0.259271,3101,546,17,10359,983,2252
0.2,0.1,0.05,6.0,0.1,0.4,0.9,0.8,F,T,0,0,0,0,1,1000,0.624598,0.846578,0.22531,4354,613,18,10403,982,2137
0.2,0.1,0.05,6.0,0.1,0.4,0.9,0.8,F,T,0,0,0,0,1,1000,0.664855,0.867468,0.187166,5244,644,14,11322,986,2437
0.2,0.1,0.05,6.0,0.1,0.4,0.9,0.8,F,T,0,0,0,0,1,1000,0.450722,0.688476,0.252049,20496,5100,14,11530,986,2531
0.2,0.1,0.05,6.0,0.1,0.4,0.9,0.8,F,T,0,0,0,0,1,1000,0.456163,0.689178,0.246967,12364,2943,15,11260,985,2547
0.2,0.1,0.05,6.0,0.1,0.4,0.9,0.8,F,T,0,0,0,0,1,1000,0.491502,0.714087,0.244158,12238,2776,16,11355,984,2446
0.2,0.1,0.05,6.0,0.1,0.4,0.9,0.8,F,T,0,0,0,0,1,1000,0.483392,0.695254,0.233347,16709,3770,16,10870,984,2339
0.2,0.1,0.05,6.0,0.1,0.4,0.9,0.8,F,T,0,0,0,0,1,1000,0.658171,0.879194,0.204464,6945,876,17,10568,983,2175
0.2,0.1,0.05,6.0,0.1,0.4,0.9,0.8,F,T,0,0,0,0,1,1000,0.486575,0.694346,0.218039,11248,2666,14,10036,986,2030
