radius,fraction,migration,growth,germline,embryo,fitness,invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending population size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,806,0,0,0,0,27,12216,779,2569
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,644,0,0,0,0,22,22368,622,6133
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,104,0,0,0,0,10,10943,94,1967
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,92,0,0,0,0,27,11681,65,2446
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,249,0,0,0,0,23,18046,226,4412
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,730,0,0,0,0,21,16730,709,3889
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,172,0,0,0,0,22,27871,150,9143
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,317,0,0,0,0,23,15703,294,3701
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,249,0,0,0,0,27,16591,222,3770
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,140,0,0,0,0,19,19139,121,4662
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,33,0,0,0,0,19,1338,14,130
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,143,0,0,0,0,19,16200,124,3696
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,48,0,0,0,0,19,4092,29,526
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,24,0,0,0,0,0,0,0,0
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,25,0,0,0,0,0,0,0,0
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,364,0,0,0,0,9,20840,355,5439
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,200,0,1,0,0,19,16496,182,3951
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,60,0,1,0,0,19,16484,42,3665
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,138,0,0,0,0,17,8362,121,1484
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,97,0,0,0,0,21,17836,76,4605
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,417,0,0,0,0,18,14754,399,3297
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,238,0,0,0,0,18,15935,220,4076
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,277,0,0,0,0,21,18325,256,4528
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,742,0,0,0,0,20,53869,722,22139
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,0,1,0,720,0.0,0.0,7.45112e-05,100656,21,20006,699,5091
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,120,0,0,0,0,20,13446,100,2646
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,276,0,0,0,0,19,22209,257,6458
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,198,0,0,0,0,20,19700,178,4940
0.2,0.4,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,83,0,0,0,0,16,9105,67,1958
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,49,0,0,0,0,15,12555,34,2242
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,24,0,0,0,0,0,0,0,0
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,22,0,0,0,0,0,0,0,0
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,212,0,0,0,0,17,25823,195,8343
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,62,0,0,0,0,17,11120,45,1836
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,107,0,0,0,0,19,15342,88,3405
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,605,0,0,0,0,12,13626,593,2948
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,335,0,0,0,0,17,21859,318,6222
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,147,0,0,0,0,18,6847,129,1052
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,224,0,0,0,0,15,9726,209,1739
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,469,0,0,0,0,16,11650,453,2289
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,128,0,0,0,0,20,14177,108,3022
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,27,0,0,0,0,0,0,0,0
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,253,0,0,0,0,16,26315,237,7409
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,184,0,0,0,0,18,19262,166,4755
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,398,0,0,0,0,19,19725,379,5189
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,64,0,0,0,0,19,14610,45,2965
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,150,0,0,0,0,17,16630,133,3805
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,21,0,0,0,0,0,0,0,0
0.2,0.45,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,29,0,0,0,0,0,0,0,0
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,873,0,0,0,0,15,14807,858,3450
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,499,0,0,0,0,13,13860,486,2838
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,342,0,0,0,0,17,10456,325,1885
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,0,1,0,29,0.0,0.0,0.0,103932,15,54063,14,24563
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,118,0,0,0,0,13,13677,105,2816
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,59,0,0,0,0,17,17430,42,3867
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,24,0,0,0,0,0,0,0,0
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,152,0,0,0,0,16,14915,136,3590
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,88,0,0,0,0,14,14769,74,3661
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,19,0,0,0,0,0,0,0,0
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,599,0,0,0,0,18,18032,581,4628
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,652,0,0,0,0,14,13480,638,2756
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,126,0,0,0,0,16,19177,110,4856
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,120,0,0,0,0,14,12082,106,2446
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,363,0,0,0,0,16,21678,347,6012
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,90,0,1,0,0,21,17289,70,3826
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,139,0,0,0,0,15,16852,124,3787
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,87,0,0,0,0,15,13602,72,3092
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,53,0,0,0,0,16,9439,37,1582
0.2,0.5,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,270,0,0,0,0,17,15375,253,3351
